id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
347;A848;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS;4;A
348;A849;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION;4;A
349;A850;ENCEFALITIS ENTEROVIRAL (G05.1*);4;A
350;A851;ENCEFALITIS POR ADENOVIRUS (G05.1*);4;A
351;A852;ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACIÓN;4;A
352;A858;OTRAS ENCEFALITIS VIRALES ESPECIFICADAS;4;A
353;A86;ENCEFALITIS VIRAL, NO ESPECIFICADA;4;A
354;A870;MENINGITIS ENTEROVIRAL (G02.0*);4;A
355;A871;MENINGITIS DEBIDA A ADENOVIRUS (G02.0*);4;A
356;A872;CORIOMENINGITIS LINFOCITICA;4;A
357;A878;OTRAS MENINGITIS VIRALES;4;A
358;A879;MENINGITIS VIRAL, SIN OTRA ESPECIFICACION;4;A
359;A880;FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON];4;A
360;A881;VERTIGO EPIDEMICO;4;A
361;A888;OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL;4;A
