id;id_tarifario;codigo_cups;codigo_diagnostico
797;1;778101;C323
798;1;778101;C329
799;1;778101;C33
800;1;778101;C340
801;1;778101;C341
802;1;778101;C342
803;1;778101;C343
804;1;778101;C349
805;1;778101;C37
806;1;778101;C380
807;1;778101;C381
808;1;778101;C382
809;1;778101;C383
810;1;778101;C384
811;1;778101;C390
812;1;778101;C399
813;1;778101;C400
814;1;778101;C401
815;1;778101;C402
816;1;778101;C403
817;1;778101;C409
818;1;778101;C410
819;1;778101;C411
820;1;778101;C412
821;1;778101;C413
822;1;778101;C414
823;1;778101;C419
824;1;778101;C440
825;1;778101;C441
826;1;778101;C442
827;1;778101;C443
828;1;778101;C444
829;1;778101;C445
830;1;778101;C446
831;1;778101;C447
832;1;778101;C449
833;1;778101;C470
834;1;778101;C471
835;1;778101;C472
836;1;778101;C473
837;1;778101;C474
838;1;778101;C475
839;1;778101;C476
840;1;778101;C479
841;1;778101;C480
842;1;778101;C481
843;1;778101;C482
844;1;778101;C490
845;1;778101;C491
846;1;778101;C492
847;1;778101;C493
848;1;778101;C494
849;1;778101;C495
850;1;778101;C496
851;1;778101;C499
852;1;778101;C500
853;1;778101;C501
854;1;778101;C502
855;1;778101;C503
856;1;778101;C504
857;1;778101;C505
858;1;778101;C506
859;1;778101;C509
860;1;778101;C510
861;1;778101;C511
862;1;778101;C512
863;1;778101;C519
864;1;778101;C52
865;1;778101;C530
866;1;778101;C531
867;1;778101;C539
868;1;778101;C540
869;1;778101;C541
870;1;778101;C542
871;1;778101;C543
872;1;778101;C549
873;1;778101;C55
874;1;778101;C56
875;1;778101;C570
876;1;778101;C571
877;1;778101;C572
878;1;778101;C573
879;1;778101;C574
880;1;778101;C577
881;1;778101;C579
882;1;778101;C58
883;1;778101;C600
884;1;778101;C601
885;1;778101;C602
886;1;778101;C609
887;1;778101;C61
888;1;778101;C620
889;1;778101;C621
890;1;778101;C629
891;1;778101;C630
892;1;778101;C631
893;1;778101;C632
894;1;778101;C637
895;1;778101;C639
896;1;778101;C64
897;1;778101;C65
898;1;778101;C66
899;1;778101;C670
900;1;778101;C671
901;1;778101;C672
902;1;778101;C673
903;1;778101;C674
904;1;778101;C675
905;1;778101;C676
906;1;778101;C677
907;1;778101;C679
908;1;778101;C680
909;1;778101;C681
910;1;778101;C689
911;1;778101;C690
912;1;778101;C691
913;1;778101;C692
914;1;778101;C693
915;1;778101;C694
916;1;778101;C695
917;1;778101;C696
918;1;778101;C699
919;1;778101;C700
920;1;778101;C701
921;1;778101;C709
922;1;778101;C710
923;1;778101;C711
924;1;778101;C712
925;1;778101;C713
926;1;778101;C714
927;1;778101;C715
928;1;778101;C716
929;1;778101;C717
930;1;778101;C719
931;1;778101;C720
932;1;778101;C721
933;1;778101;C722
934;1;778101;C723
935;1;778101;C724
936;1;778101;C725
937;1;778101;C729
938;1;778101;C73
939;1;778101;C740
940;1;778101;C741
941;1;778101;C749
942;1;778101;C750
943;1;778101;C751
944;1;778101;C752
945;1;778101;C753
946;1;778101;C754
947;1;778101;C755
948;1;778101;C758
949;1;778101;C759
950;1;778101;C760
951;1;778101;C761
952;1;778101;C762
953;1;778101;C763
954;1;778101;C764
955;1;778101;C765
956;1;778101;C767
957;1;778101;C770
958;1;778101;C771
959;1;778101;C772
960;1;778101;C773
961;1;778101;C774
962;1;778101;C775
963;1;778101;C778
964;1;778101;C779
965;1;778101;C780
966;1;778101;C781
967;1;778101;C782
968;1;778101;C783
969;1;778101;C784
970;1;778101;C785
971;1;778101;C786
972;1;778101;C787
973;1;778101;C788
974;1;778101;C790
975;1;778101;C791
976;1;778101;C792
977;1;778101;C793
978;1;778101;C794
979;1;778101;C795
980;1;778101;C796
981;1;778101;C797
982;1;778101;C798
983;1;778101;C80
984;1;778101;C837
985;1;778101;C962
986;1;778101;C967
987;1;778101;C969
988;1;778101;C97
989;1;778101;D100
990;1;778101;D101
991;1;778101;D102
992;1;778101;D103
993;1;778101;D104
994;1;778101;D105
995;1;778101;D106
996;1;778101;D107
997;1;778101;D109
998;1;778101;D110
999;1;778101;D117
1000;1;778101;D119
1001;1;778101;D120
1002;1;778101;D121
1003;1;778101;D122
1004;1;778101;D123
1005;1;778101;D124
1006;1;778101;D125
1007;1;778101;D126
1008;1;778101;D127
1009;1;778101;D128
1010;1;778101;D129
1011;1;778101;D130
1012;1;778101;D131
1013;1;778101;D132
