pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
241;A522;NEUROSIFILIS ASINTOMATICA;4;Ambos
242;A523;NEUROSIFILIS NO ESPECIFICADA;4;Ambos
243;A527;OTRAS SIFILIS TARDIAS SINTOMATICAS;4;Ambos
244;A528;SIFILIS TARDIA, LATENTE;4;Ambos
245;A529;SIFILIS TARDIA, NO ESPECIFICADA;4;Ambos
246;A530;SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA;4;Ambos
247;A539;SIFILIS, NO ESPECIFICADA;4;Ambos
248;A540;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA;4;Ambos
249;A541;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS;4;Ambos
250;A542;PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS;4;Ambos
251;A543;INFECCION GONOCOCICA DEL OJO;4;Ambos
252;A544;INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR;4;Ambos
253;A545;FARINGITIS GONOCOCICA;4;Ambos
254;A546;INFECCION GONOCOCICA DEL ANO Y DEL RECTO;4;Ambos
255;A548;OTRAS INFECCIONES GONOCOCICAS;4;Ambos
256;A549;INFECCION, GONOCOCICA, NO ESPECIFICADA;4;Ambos
257;A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS;4;Ambos
258;A560;INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS;4;Ambos
259;A561;INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS;4;Ambos
260;A562;INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION;4;Ambos
261;A563;INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS;4;Ambos
262;A564;INFECCION DE FARINGE DEBIDA A CLAMIDIAS;4;Ambos
263;A568;INFECCION DE TRANSMISI?N SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS;4;Ambos
264;A57;CHANCRO BLANDO;4;Ambos
265;A58;GRANULOMA INGUINAL;4;Ambos
266;A590;TRICOMONIASIS UROGENITAL;4;Ambos
267;A598;TRICOMONIASIS DE OTROS SITIOS;4;Ambos
268;A599;TRICOMONIASIS, NO ESPECIFICADA;4;Ambos
269;A600;INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE];4;Ambos
270;A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE;4;Ambos
271;A609;INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION;4;Ambos
272;A630;VERRUGAS (VENEREAS) ANOGENITALES;4;Ambos
273;A638;OTRAS ENFERMEDADES DE TRANSMISI?N PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS;4;Ambos
274;A64;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA;4;Ambos
275;A65;SIFILIS NO VENEREA;4;Ambos
276;A660;LESIONES INICIALES DE FRAMBESIA;4;Ambos
277;A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO;4;Ambos
278;A662;OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA;4;Ambos
279;A663;HIPERQUERATOSIS DE FRAMBESIA;4;Ambos
280;A664;GOMA Y ULCERAS DE FRAMBESIA;4;Ambos
281;A665;GANGOSA;4;Ambos
282;A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES;4;Ambos
283;A667;OTRAS MANIFESTACIONES DE FRAMBESIA;4;Ambos
284;A668;FRAMBESIA LATENTE;4;Ambos
285;A669;FRAMBESIA , NO ESPECIFICADA;4;Ambos
286;A670;LESIONES PRIMARIAS DE LA PINTA;4;Ambos
287;A671;LESIONES INTERMEDIAS DE LA PINTA;4;Ambos
288;A672;LESIONES TARDIAS DE LA PINTA;4;Ambos
289;A673;LESIONES MIXTAS DE LA PINTA;4;Ambos
290;A679;PINTA, NO ESPECIFICADA;4;Ambos
291;A680;FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS;4;Ambos
292;A681;FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS;4;Ambos
293;A689;FIEBRE RECURRENTE, NO ESPECIFICADA;4;Ambos
294;A690;ESTOMATITIS ULCERATIVA NECROTIZANTE;4;Ambos
295;A691;OTRAS INFECCIONES DE VICENT;4;Ambos
296;A692;ENFERMEDAD DE LYME;4;Ambos
297;A698;OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS;4;Ambos
298;A699;INFECCION POR ESPIROQUETA, NO ESPECIFICADA;4;Ambos
299;A70;INFECCION DEBIDA A CHLAMYDIA PSITTACI;4;Ambos
300;A710;ESTADO INICIAL DE TRACOMA;4;Ambos
301;A711;ESTADO ACTIVO DE TRACOMA;4;Ambos
302;A719;TRACOMA, NO ESPECIFICADO;4;Ambos
303;A740;CONJUNTIVITIS POR CLAMIDIAS (H13.1*);4;Ambos
304;A748;OTRAS ENFERMEDADES POR CLAMIDIAS;4;Ambos
305;A749;INFECCION POR CLAMIDIAS, NO ESPECIFICADA;4;Ambos
306;A750;TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS;4;Ambos
307;A751;TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL];4;Ambos
308;A752;TIFUS DEBIDO A RICKETTSIA TYPHI;4;Ambos
309;A753;TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI;4;Ambos
310;A759;TIFUS, NO ESPECIFICADO;4;Ambos
311;A770;FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII;4;Ambos
312;A771;FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII;4;Ambos
313;A772;FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA;4;Ambos
314;A773;FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS;4;Ambos
315;A778;OTRAS FIEBRES MACULOSAS;4;Ambos
316;A779;FIEBRE MACULOSA, NO ESPECIFICADA;4;Ambos
317;A78;FIEBRE Q;4;Ambos
318;A790;FIEBRE DE LAS TRINCHERAS;4;Ambos
319;A791;RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI;4;Ambos
